Epsilon,Sparsity,RMSE,MAE,MAPE
2.0,0.0078125,"[4.519601, 5.353425, 5.8053417]","[2.3095593, 2.591229, 2.6950293]","[0.21276696, 0.23764822, 0.25059688]"
1.0,0.0078125,"[4.592146, 5.3844333, 5.8940544]","[2.384262, 2.587827, 2.7369652]","[0.21592401, 0.24008176, 0.25386995]"
0.5,0.0078125,"[4.4384937, 5.2518387, 5.7441816]","[2.231229, 2.5628722, 2.6683822]","[0.20826319, 0.23396336, 0.25128427]"
0.1,0.009765625,"[4.541042, 5.350041, 5.926093]","[2.2652762, 2.570124, 2.7535284]","[0.21253844, 0.23872794, 0.25211576]"
0.05,0.0098876953125,"[4.545432, 5.453343, 5.816874]","[2.3170652, 2.6093373, 2.709251]","[0.212721, 0.23964243, 0.25762808]"
0.01,0.0130615234375,"[4.471037, 5.29862, 5.799762]","[2.2993927, 2.5238278, 2.6941864]","[0.20782879, 0.23194727, 0.24492097]"
0.005,0.01611328125,"[4.5569463, 5.446017, 6.0055294]","[2.2922218, 2.5667737, 2.6952906]","[0.21237896, 0.23976427, 0.25345054]"
0.001,0.0233154296875,"[4.554716, 5.2526965, 5.5387115]","[2.3402584, 2.543111, 2.6116202]","[0.21143691, 0.23345995, 0.24469863]"
0.0005,0.0262451171875,"[4.5350146, 5.399674, 5.759324]","[2.3106499, 2.5685513, 2.6374989]","[0.21155602, 0.23348342, 0.24700631]"
0.0001,0.03515625,"[4.495595, 5.227005, 5.9158273]","[2.2924178, 2.5978606, 2.7320707]","[0.212831, 0.23735486, 0.25222048]"
